Packet number,Battery voltage (V),Thermometer (degrees C)
89,4.061035,34.05078
186,4.062744,34.01953
284,4.057861,33.99219
381,4.054688,34.05078
479,4.062744,34.01953
576,4.062744,33.99219
674,4.062744,34.01953
771,4.062744,34.05078
869,4.062744,34.01953
966,4.062744,34.05078
1064,4.062744,33.99219
1161,4.062744,34.08203
1259,4.062744,33.99219
1356,4.054688,33.95703
1454,4.062744,34.05078
1551,4.062744,34.01953
1649,4.062744,33.99219
1746,4.062744,33.99219
1844,4.062744,33.95703
1941,4.062744,34.05078
2039,4.062744,34.01953
2136,4.062744,34.05078
2234,4.062744,33.99219
2331,4.056152,34.01953
2429,4.062744,33.99219
2526,4.064209,34.01953
2624,4.064209,33.99219
2721,4.064209,34.08203
2819,4.064209,33.99219
2916,4.064209,34.01953
3014,4.064209,34.01953
3111,4.064209,34.05078
3209,4.064209,34.01953
3306,4.056152,34.05078
3404,4.061035,33.95703
3501,4.064209,34.05078
3599,4.064209,34.05078
3696,4.064209,34.14453
3794,4.064209,33.99219
3891,4.064209,33.95703
3989,4.064209,33.99219
4086,4.064209,34.05078
4184,4.064209,34.11328
4281,4.05957,34.05078
4379,4.056152,34.01953
4476,4.064209,33.99219
4574,4.064209,34.01953
4671,4.064209,33.99219
4769,4.064209,34.01953
4866,4.064209,34.01953
4964,4.064209,33.99219
5061,4.064209,34.01953
5159,4.065918,33.99219
5256,4.064209,34.01953
5354,4.056152,34.05078
5451,4.064209,33.95703
5549,4.065918,33.95703
5646,4.064209,33.99219
5744,4.064209,34.08203
5841,4.065918,33.99219
5939,4.064209,34.05078
6036,4.065918,33.99219
6134,4.064209,33.99219
6231,4.064209,34.01953
6329,4.057861,33.99219
6426,4.064209,34.01953
6524,4.064209,33.99219
6621,4.065918,34.01953
6719,4.065918,33.99219
6816,4.065918,33.92969
6914,4.065918,34.01953
7011,4.065918,34.05078
7109,4.064209,34.01953
7206,4.065918,33.99219
7304,4.05957,33.95703
7401,4.064209,33.95703
7499,4.065918,34.05078
7596,4.065918,34.01953
7694,4.064209,33.99219
7791,4.065918,33.99219
7889,4.065918,33.99219
7986,4.065918,34.01953
8084,4.065918,34.08203
8181,4.065918,33.99219
8279,4.05957,34.01953
8376,4.05957,33.99219
8474,4.065918,34.01953
8571,4.065918,34.05078
8669,4.065918,33.99219
8766,4.065918,34.01953
8864,4.065918,33.92969
8961,4.065918,34.01953
9059,4.065918,33.99219
9156,4.065918,34.01953
9254,4.064209,34.05078
9351,4.05957,33.99219
9449,4.065918,34.01953
9546,4.065918,34.05078
9644,4.065918,33.95703
9741,4.065918,34.05078
9839,4.067627,34.01953
9936,4.067627,33.95703
10034,4.065918,33.92969
10131,4.067627,33.95703
10229,4.067627,33.99219
10326,4.05957,34.01953
10424,4.065918,33.99219
10521,4.067627,33.99219
10619,4.067627,34.01953
10716,4.067627,33.99219
10814,4.067627,34.01953
10911,4.067627,33.99219
11009,4.067627,34.01953
11106,4.067627,33.99219
11204,4.067627,33.99219
11301,4.05957,34.01953
11399,4.065918,33.99219
11496,4.067627,34.01953
11594,4.067627,33.99219
11691,4.067627,34.01953
11789,4.067627,33.99219
11886,4.067627,34.05078
11984,4.067627,33.95703
12081,4.067627,34.05078
12179,4.067627,33.95703
12276,4.061035,33.99219
12374,4.061035,33.99219
12471,4.067627,33.99219
12569,4.067627,33.99219
12666,4.067627,33.95703
12764,4.067627,33.92969
12861,4.067627,34.01953
12959,4.067627,33.99219
13056,4.067627,33.95703
13154,4.067627,34.01953
13251,4.064209,33.92969
13349,4.05957,34.01953
13446,4.067627,33.92969
13544,4.067627,34.01953
13641,4.067627,33.92969
13739,4.067627,33.95703
13836,4.067627,33.95703
13934,4.067627,33.99219
14031,4.067627,34.01953
14129,4.067627,33.99219
14226,4.067627,33.99219
14324,4.061035,33.99219
14421,4.067627,33.92969
14519,4.069092,33.95703
14616,4.067627,34.05078
14714,4.067627,34.01953
14811,4.067627,33.99219
14909,4.067627,33.95703
15006,4.067627,33.92969
15104,4.067627,33.99219
15201,4.069092,33.95703
15299,4.061035,33.99219
15396,4.067627,33.95703
15494,4.067627,34.05078
15591,4.067627,33.95703
15689,4.069092,33.99219
15786,4.069092,33.92969
15884,4.067627,33.95703
15981,4.069092,33.92969
16079,4.069092,33.89844
16176,4.069092,33.92969
16274,4.062744,34.01953
16371,4.064209,33.89844
16469,4.069092,33.99219
16566,4.069092,33.95703
16664,4.069092,33.92969
16761,4.069092,33.89844
16859,4.069092,33.92969
16956,4.069092,34.05078
17054,4.069092,33.89844
17151,4.069092,33.99219
17249,4.065918,33.95703
17346,4.061035,33.92969
17444,4.069092,33.95703
17541,4.069092,33.86719
17639,4.069092,33.89844
17736,4.069092,33.89844
17834,4.070801,33.99219
17931,4.069092,34.01953
18029,4.069092,33.99219
18126,4.069092,33.89844
18224,4.069092,33.99219
18321,4.062744,33.92969
18419,4.069092,33.95703
18516,4.069092,33.99219
18614,4.070801,33.95703
18711,4.069092,33.92969
18809,4.069092,33.99219
18906,4.069092,33.99219
19004,4.070801,33.92969
19101,4.070801,33.95703
19199,4.070801,33.92969
19296,4.062744,33.95703
19394,4.069092,33.92969
19491,4.069092,33.89844
19589,4.070801,33.86719
19686,4.070801,33.86719
19784,4.070801,33.89844
19881,4.070801,33.86719
19979,4.070801,33.95703
20076,4.070801,33.92969
20174,4.070801,33.95703
20271,4.064209,33.99219
20369,4.065918,33.92969
20466,4.070801,33.89844
20564,4.070801,33.92969
20661,4.070801,33.95703
20759,4.070801,33.92969
20856,4.070801,33.89844
20954,4.070801,33.92969
21051,4.070801,33.92969
21149,4.070801,33.95703
21246,4.065918,33.92969
21344,4.062744,33.89844
21441,4.070801,33.99219
21539,4.070801,33.86719
21636,4.070801,33.89844
21734,4.070801,33.92969
21831,4.070801,33.89844
21929,4.070801,33.99219
22026,4.070801,33.89844
22124,4.070801,33.86719
22221,4.070801,33.89844
22319,4.064209,33.95703
22416,4.070801,33.92969
22514,4.070801,33.89844
22611,4.070801,33.92969
22709,4.070801,33.89844
22806,4.070801,33.86719
22904,4.070801,33.89844
23001,4.070801,33.83594
23099,4.070801,33.86719
23196,4.072266,33.89844
23294,4.064209,33.86719
23391,4.070801,33.89844
23489,4.070801,33.86719
23586,4.070801,33.83594
23684,4.070801,33.83594
23781,4.070801,33.92969
23879,4.072266,33.83594
23976,4.072266,33.86719
24074,4.070801,33.83594
24171,4.072266,33.86719
24269,4.064209,33.86719
24366,4.067627,33.83594
24464,4.070801,33.86719
24561,4.072266,33.83594
24659,4.072266,33.86719
24756,4.072266,33.83594
24854,4.072266,33.86719
24951,4.072266,33.89844
25049,4.072266,33.83594
25146,4.072266,33.86719
25244,4.065918,33.83594
25341,4.064209,33.86719
25439,4.072266,33.83594
25536,4.072266,33.86719
25634,4.072266,33.83594
25731,4.072266,33.86719
25829,4.072266,33.86719
25926,4.072266,33.83594
26024,4.072266,33.80469
26121,4.072266,33.83594
26219,4.072266,33.80469
26316,4.064209,33.83594
26414,4.072266,33.80469
26511,4.072266,33.86719
26609,4.072266,33.83594
26706,4.072266,33.86719
26804,4.072266,33.83594
26901,4.072266,33.80469
26999,4.072266,33.86719
27096,4.072266,33.80469
27194,4.072266,33.80469
27291,4.065918,33.77734
27389,4.070801,33.86719
27486,4.072266,33.89844
27584,4.072266,33.80469
27681,4.072266,33.83594
27779,4.072266,33.80469
27876,4.072266,33.86719
27974,4.072266,33.83594
28071,4.072266,33.80469
28169,4.072266,33.83594
28266,4.065918,33.74609
28364,4.070801,33.83594
28461,4.072266,33.80469
28559,4.073975,33.86719
28656,4.072266,33.77734
28754,4.073975,33.86719
28851,4.073975,33.83594
28949,4.072266,33.86719
29046,4.072266,33.83594
29144,4.073975,33.80469
29241,4.067627,33.83594
29339,4.065918,33.83594
29436,4.072266,33.74609
29534,4.073975,33.83594
29631,4.073975,33.80469
29729,4.073975,33.80469
29826,4.073975,33.80469
29924,4.073975,33.77734
30021,4.073975,33.83594
30119,4.073975,33.80469
30216,4.073975,33.83594
30314,4.065918,33.86719
30411,4.072266,33.83594
30509,4.073975,33.80469
30606,4.073975,33.86719
30704,4.073975,33.77734
30801,4.073975,33.74609
30899,4.073975,33.83594
30996,4.073975,33.80469
31094,4.073975,33.77734
31191,4.073975,33.80469
31289,4.065918,33.77734
31386,4.072266,33.80469
31484,4.073975,33.80469
31581,4.073975,33.83594
