Packet number,Roll | Phi | X (degrees), Pitch | Theta | Y (degrees), Yaw | Psi | Z (degrees)
2,17.00525,32.83469,-121.2762
5,17.00652,32.8301,-121.2765
8,17.00724,32.8292,-121.2732
11,17.01133,32.82652,-121.2691
14,17.0165,32.82446,-121.2629
17,17.01777,32.81988,-121.2633
20,17.02186,32.81721,-121.2592
23,17.02494,32.81232,-121.2541
26,17.02357,32.80859,-121.2518
29,17.02557,32.80309,-121.2488
32,17.02293,32.80393,-121.2462
35,17.02084,32.80111,-121.2473
38,17.02156,32.80019,-121.2439
41,17.01611,32.79913,-121.2457
44,17.01475,32.79539,-121.2435
47,17.00929,32.79432,-121.2453
50,17.00821,32.79372,-121.2473
53,17.00276,32.79265,-121.2492
56,16.99759,32.79471,-121.2553
59,16.99141,32.79456,-121.2605
62,16.99141,32.79456,-121.2605
65,16.99141,32.79456,-121.2605
68,16.98733,32.79723,-121.2646
71,16.98606,32.80181,-121.2642
74,16.98088,32.80387,-121.2704
77,16.97889,32.80936,-121.2734
80,16.97553,32.81112,-121.2741
83,16.967,32.81493,-121.281
86,16.96291,32.81761,-121.2851
91,16.95364,32.82233,-121.2954
94,16.94283,32.82851,-121.3009
97,16.93357,32.83324,-121.3112
100,16.9243,32.83796,-121.3215
103,16.91503,32.84268,-121.3317
106,16.90577,32.84739,-121.342
109,16.9004,32.85464,-121.3458
112,16.89113,32.85936,-121.356
115,16.88703,32.86203,-121.3601
118,16.88394,32.8669,-121.3652
121,16.8853,32.87064,-121.3675
124,16.89211,32.87545,-121.368
127,16.89664,32.88263,-121.3671
130,16.90891,32.88851,-121.3657
133,16.92227,32.895,-121.3623
136,16.93453,32.90088,-121.3609
139,16.94789,32.90738,-121.3575
142,16.96198,32.91295,-121.3507
145,16.97289,32.9151,-121.3471
148,16.98416,32.91876,-121.3447
151,16.99825,32.92434,-121.3379
154,17.00844,32.92739,-121.3376
157,17.02381,32.92838,-121.3311
160,17.03735,32.92968,-121.3301
163,17.046,32.93419,-121.3251
166,17.065,32.93655,-121.3223
169,17.08038,32.93753,-121.3159
172,17.09374,32.94402,-121.3124
175,17.11121,32.94783,-121.3048
178,17.12868,32.95164,-121.2973
181,17.14951,32.95369,-121.289
184,17.16698,32.9575,-121.2814
188,17.1839,32.95703,-121.2797
191,17.1959,32.95977,-121.2739
194,17.2061,32.96281,-121.2737
197,17.2061,32.96281,-121.2737
200,17.20819,32.96563,-121.2726
203,17.2041,32.96832,-121.2767
206,17.2041,32.96832,-121.2767
209,17.20438,32.97144,-121.281
212,17.20574,32.97519,-121.2833
215,17.20501,32.9761,-121.2867
218,17.21184,32.98092,-121.2871
221,17.21393,32.98374,-121.286
224,17.2205,32.98541,-121.2821
227,17.22259,32.98823,-121.281
230,17.22259,32.98823,-121.281
233,17.23124,32.99273,-121.276
236,17.22715,32.9954,-121.2801
239,17.22924,32.99823,-121.279
242,17.22924,32.99823,-121.279
245,17.23134,33.00105,-121.2779
248,17.22798,33.0028,-121.2786
251,17.22388,33.00549,-121.2827
254,17.21716,33.009,-121.2841
257,17.20723,33.00909,-121.2888
260,17.19841,33.00978,-121.2913
263,17.19432,33.01245,-121.2954
266,17.18103,33.01429,-121.3008
269,17.1722,33.01498,-121.3034
272,17.16364,33.0188,-121.3103
275,17.15272,33.01668,-121.3139
278,17.1428,33.01675,-121.3186
281,17.13061,33.0192,-121.3219
286,17.11659,33.02195,-121.3306
289,17.10703,33.02356,-121.3366
292,17.09846,33.02738,-121.3435
295,17.093,33.02631,-121.3453
298,17.08235,33.0273,-121.3533
301,17.07898,33.02906,-121.3541
304,17.07561,33.03081,-121.3548
307,17.07151,33.03349,-121.3589
310,17.06632,33.03554,-121.3651
313,17.06504,33.04012,-121.3647
316,17.06168,33.04187,-121.3655
319,17.06094,33.04279,-121.3688
322,17.06304,33.04562,-121.3678
325,17.06439,33.04936,-121.37
328,17.06102,33.05111,-121.3708
331,17.06239,33.05485,-121.373
334,17.05902,33.05661,-121.3738
337,17.0551,33.05408,-121.3803
340,17.05173,33.05584,-121.3811
343,17.04626,33.05477,-121.3829
346,17.03971,33.05309,-121.3868
349,17.0356,33.05575,-121.3909
352,17.03224,33.05751,-121.3916
355,17.02703,33.05956,-121.3978
358,17.02157,33.05849,-121.3997
361,17.01821,33.06025,-121.4004
364,17.0141,33.06292,-121.4045
367,17.00964,33.06406,-121.4073
370,17.00007,33.06565,-121.4133
373,16.99351,33.06396,-121.4172
376,16.98941,33.06663,-121.4213
379,16.98394,33.06556,-121.4231
383,16.97739,33.06387,-121.427
386,16.97192,33.0628,-121.4289
389,16.96537,33.06111,-121.4328
392,16.95991,33.06004,-121.4346
395,16.95262,33.05926,-121.4419
398,16.94379,33.05994,-121.4445
401,16.94041,33.0617,-121.4452
404,16.93723,33.05825,-121.4484
407,16.93514,33.05542,-121.4495
410,16.93177,33.05718,-121.4502
413,16.92631,33.0561,-121.452
416,16.92631,33.0561,-121.452
419,16.92085,33.05503,-121.4539
422,16.91976,33.05441,-121.456
425,16.91976,33.05441,-121.456
428,16.91767,33.05159,-121.4571
431,16.91949,33.05129,-121.4516
434,16.91767,33.05159,-121.4571
437,16.92178,33.04892,-121.4529
440,16.92104,33.04983,-121.4563
443,16.91767,33.05159,-121.4571
446,16.91767,33.05159,-121.4571
449,16.91356,33.05425,-121.4612
