Packet number,Element 11, Element 12, Element 13, Element 21, Element 22, Element 23, Element 31, Element 32, Element 33
2,-0.4362213,0.7349796,-0.5191492,-0.7181307,-0.631996,-0.2913233,-0.542217,0.2457356,0.8035015
5,-0.4362484,0.7349743,-0.519134,-0.718165,-0.6319904,-0.2912511,-0.5421498,0.245766,0.8035375
8,-0.4362107,0.7350069,-0.5191196,-0.718198,-0.6319476,-0.2912627,-0.5421364,0.2457788,0.8035427
11,-0.4361726,0.7350208,-0.5191318,-0.7182507,-0.6319061,-0.2912226,-0.5420972,0.2458435,0.8035493
14,-0.4361053,0.7350466,-0.5191517,-0.7183143,-0.6318457,-0.2911968,-0.542067,0.2459217,0.8035457
17,-0.4361323,0.7350414,-0.5191365,-0.7183487,-0.6318399,-0.2911246,-0.5419998,0.2459522,0.8035818
20,-0.4360942,0.7350554,-0.5191488,-0.7184014,-0.6317984,-0.2910846,-0.5419607,0.2460169,0.8035885
23,-0.4360544,0.7350944,-0.5191269,-0.7184796,-0.6317309,-0.2910381,-0.541889,0.2460736,0.8036193
26,-0.4360441,0.7351403,-0.5190706,-0.7185272,-0.631681,-0.291029,-0.5418341,0.2460648,0.8036591
29,-0.4360335,0.7351675,-0.5190409,-0.7185944,-0.6316325,-0.2909682,-0.5417535,0.246108,0.8037001
32,-0.4359963,0.7352186,-0.5189999,-0.7186076,-0.6315884,-0.2910313,-0.5417659,0.2460687,0.8037038
35,-0.4360238,0.7352318,-0.518958,-0.7186222,-0.6315813,-0.2910106,-0.5417244,0.2460472,0.8037384
38,-0.4359862,0.7352642,-0.5189435,-0.718655,-0.6315386,-0.2910221,-0.541711,0.2460598,0.8037434
41,-0.4360141,0.7352961,-0.5188751,-0.71865,-0.6315301,-0.2910531,-0.5416954,0.2459863,0.8037766
44,-0.4360039,0.7353418,-0.5188187,-0.7186974,-0.6314803,-0.2910439,-0.5416406,0.2459775,0.8038161
47,-0.4360318,0.7353737,-0.5187503,-0.7186924,-0.6314719,-0.2910748,-0.541625,0.2459039,0.8038493
50,-0.4360611,0.7353618,-0.5187424,-0.7186813,-0.631491,-0.2910605,-0.541616,0.2458904,0.8038594
53,-0.4360889,0.7353936,-0.518674,-0.7186761,-0.6314827,-0.2910914,-0.5416003,0.2458169,0.8038924
56,-0.4361563,0.7353677,-0.518654,-0.7186125,-0.6315432,-0.2911172,-0.5416306,0.2457386,0.803896
59,-0.4362219,0.735367,-0.5185999,-0.7185744,-0.6315776,-0.2911367,-0.5416283,0.2456524,0.8039238
62,-0.4362219,0.735367,-0.5185999,-0.7185744,-0.6315776,-0.2911367,-0.5416283,0.2456524,0.8039238
65,-0.4362219,0.735367,-0.5185999,-0.7185744,-0.6315776,-0.2911367,-0.5416283,0.2456524,0.8039238
68,-0.43626,0.735353,-0.5185876,-0.7185217,-0.631619,-0.2911767,-0.5416675,0.2455877,0.8039173
71,-0.436233,0.7353583,-0.5186029,-0.7184874,-0.6316248,-0.291249,-0.5417348,0.2455573,0.8038813
74,-0.4363003,0.7353325,-0.5185829,-0.7184238,-0.6316853,-0.2912748,-0.541765,0.245479,0.803885
77,-0.436311,0.7353052,-0.5186126,-0.7183565,-0.6317338,-0.2913355,-0.5418456,0.2454358,0.8038437
80,-0.4363115,0.7353237,-0.5185859,-0.7183368,-0.6317324,-0.2913871,-0.5418713,0.2453838,0.8038422
83,-0.4363793,0.7353163,-0.5185393,-0.7182534,-0.6317916,-0.2914644,-0.5419273,0.2452535,0.8038442
86,-0.4364174,0.7353024,-0.5185271,-0.7182007,-0.631833,-0.2915045,-0.5419665,0.2451889,0.8038377
91,-0.4365229,0.7352624,-0.5184949,-0.7180843,-0.6319349,-0.2915704,-0.5420358,0.2450459,0.8038344
94,-0.436562,0.7352854,-0.5184293,-0.7179921,-0.6319736,-0.2917136,-0.5421264,0.2448771,0.8038246
97,-0.4366674,0.7352454,-0.5183972,-0.7178755,-0.6320754,-0.2917795,-0.5421957,0.2447341,0.8038214
100,-0.4367729,0.7352055,-0.5183651,-0.7177592,-0.6321772,-0.2918454,-0.5422649,0.2445911,0.8038184
103,-0.4368783,0.7351655,-0.518333,-0.7176427,-0.632279,-0.2919113,-0.5423342,0.2444481,0.8038152
106,-0.4369837,0.7351255,-0.5183008,-0.7175261,-0.6323808,-0.2919772,-0.5424033,0.2443051,0.8038118
109,-0.4369949,0.7351167,-0.5183038,-0.7174391,-0.6324278,-0.2920895,-0.5425096,0.2442098,0.8037691
112,-0.4371003,0.7350767,-0.5182717,-0.7173225,-0.6325296,-0.2921554,-0.5425788,0.2440668,0.803766
115,-0.4371384,0.7350626,-0.5182595,-0.7172697,-0.6325709,-0.2921954,-0.5426179,0.244002,0.8037592
118,-0.4371783,0.7350234,-0.5182815,-0.7171913,-0.6326383,-0.2922418,-0.5426893,0.2439452,0.803728
121,-0.4371884,0.7349777,-0.5183378,-0.7171437,-0.6326881,-0.292251,-0.5427442,0.243954,0.8036886
124,-0.4371705,0.7349002,-0.5184627,-0.7171013,-0.6327463,-0.2922291,-0.5428146,0.2440363,0.8036159
127,-0.4371239,0.7348532,-0.5185688,-0.7170501,-0.6327841,-0.2922731,-0.5429199,0.2440801,0.8035317
130,-0.437078,0.734744,-0.5187621,-0.7170128,-0.6328508,-0.2922202,-0.5430061,0.244236,0.803426
133,-0.437003,0.7346466,-0.5189632,-0.7169864,-0.6328984,-0.2921816,-0.5431012,0.2444053,0.8033101
136,-0.436957,0.7345374,-0.5191565,-0.7169492,-0.6329651,-0.2921287,-0.5431874,0.2445611,0.8032045
139,-0.4368819,0.7344399,-0.5193575,-0.7169228,-0.6330127,-0.2920901,-0.5432825,0.2447304,0.8030885
142,-0.4367692,0.734375,-0.519544,-0.7169295,-0.6330175,-0.292063,-0.5433642,0.2449124,0.8029776
145,-0.4367131,0.7343114,-0.519681,-0.7169399,-0.6330345,-0.292001,-0.5433956,0.2450594,0.8029115
148,-0.4366655,0.7342271,-0.5198401,-0.7169282,-0.633075,-0.2919417,-0.5434493,0.2452072,0.8028301
151,-0.4365526,0.7341622,-0.5200266,-0.716935,-0.6330798,-0.2919146,-0.5435311,0.2453892,0.8027194
154,-0.4365342,0.7340659,-0.5201779,-0.7169123,-0.6331394,-0.2918411,-0.5435757,0.2455234,0.8026478
157,-0.4364485,0.7339956,-0.5203491,-0.7169535,-0.6331385,-0.2917418,-0.5435903,0.2457359,0.802573
160,-0.4364296,0.7338807,-0.5205271,-0.7169507,-0.6331994,-0.2916167,-0.5436093,0.245922,0.8025032
163,-0.4363447,0.7338474,-0.5206451,-0.7169523,-0.6331958,-0.2916206,-0.5436753,0.2460305,0.8024252
166,-0.4362977,0.7337006,-0.5208913,-0.7169546,-0.633265,-0.2914645,-0.5437099,0.2462901,0.8023221
169,-0.436212,0.73363,-0.5210624,-0.7169957,-0.6332641,-0.2913652,-0.5437244,0.2465026,0.8022469
172,-0.4361366,0.7335322,-0.5212632,-0.7169695,-0.6333116,-0.2913265,-0.5438194,0.2466717,0.8021307
175,-0.4360233,0.7334482,-0.5214761,-0.7169961,-0.6333177,-0.2912477,-0.5438752,0.2469056,0.8020207
178,-0.4359099,0.7333642,-0.521689,-0.7170227,-0.6333238,-0.291169,-0.543931,0.2471394,0.801911
181,-0.4357961,0.7332615,-0.5219284,-0.7170691,-0.6333311,-0.2910388,-0.543961,0.2474252,0.8018023
184,-0.4356826,0.7331775,-0.5221413,-0.7170959,-0.6333371,-0.2909601,-0.5440168,0.2476591,0.8016926
188,-0.4356632,0.7330435,-0.5223455,-0.7171128,-0.633399,-0.2907833,-0.5440099,0.247897,0.8016236
191,-0.4355779,0.7329913,-0.5224899,-0.7171342,-0.6333967,-0.2907356,-0.54405,0.2480574,0.8015468
194,-0.4355593,0.7328946,-0.5226409,-0.7171116,-0.633456,-0.2906619,-0.5440946,0.2481914,0.8014749
197,-0.4355593,0.7328946,-0.5226409,-0.7171116,-0.633456,-0.2906619,-0.5440946,0.2481914,0.8014749
200,-0.4355317,0.7328812,-0.5226827,-0.717097,-0.6334631,-0.2906825,-0.5441359,0.2482128,0.8014402
203,-0.4355697,0.7328674,-0.5226706,-0.7170442,-0.6335046,-0.2907224,-0.5441751,0.248148,0.8014337
206,-0.4355697,0.7328674,-0.5226706,-0.7170442,-0.6335046,-0.2907224,-0.5441751,0.248148,0.8014337
209,-0.4356089,0.7328095,-0.5227189,-0.7169856,-0.6335734,-0.290717,-0.544221,0.248143,0.8014039
212,-0.4356188,0.7327636,-0.5227751,-0.7169381,-0.6336231,-0.290726,-0.5442758,0.2481517,0.8013643
215,-0.4356563,0.732731,-0.5227895,-0.716905,-0.6336659,-0.2907143,-0.5442892,0.2481389,0.8013591
218,-0.4356381,0.732653,-0.522914,-0.7168626,-0.6337239,-0.2906922,-0.5443596,0.2482209,0.8012858
221,-0.4356105,0.7326397,-0.5229557,-0.7168481,-0.6337309,-0.2907128,-0.544401,0.2482423,0.8012513
224,-0.4355532,0.7326194,-0.5230318,-0.7168643,-0.6337203,-0.2906961,-0.5444255,0.2483292,0.8012075
227,-0.4355256,0.732606,-0.5230735,-0.7168496,-0.6337274,-0.2907166,-0.5444667,0.2483506,0.8011728
230,-0.4355256,0.732606,-0.5230735,-0.7168496,-0.6337274,-0.2907166,-0.5444667,0.2483506,0.8011728
233,-0.4354405,0.7325724,-0.5231913,-0.7168514,-0.6337237,-0.2907204,-0.5445325,0.248459,0.8010946
236,-0.4354786,0.7325584,-0.5231792,-0.7167984,-0.6337653,-0.2907603,-0.5445718,0.2483942,0.8010879
239,-0.4354509,0.7325451,-0.523221,-0.7167839,-0.6337723,-0.2907809,-0.5446131,0.2484155,0.8010533
242,-0.4354509,0.7325451,-0.523221,-0.7167839,-0.6337723,-0.2907809,-0.5446131,0.2484155,0.8010533
245,-0.4354232,0.7325318,-0.5232627,-0.7167694,-0.6337793,-0.2908014,-0.5446544,0.2484369,0.8010187
248,-0.4354236,0.7325505,-0.5232361,-0.7167495,-0.6337781,-0.290853,-0.5446801,0.248385,0.8010172
251,-0.4354616,0.7325366,-0.523224,-0.7166967,-0.6338196,-0.2908929,-0.5447193,0.2483202,0.8010107
254,-0.4354625,0.732574,-0.5231709,-0.716657,-0.6338171,-0.290996,-0.5447708,0.2482162,0.8010079
